family_id,company,title,postings,countries,open_to_colombia,min_years,english_level,pay_usd_hour_max,pay_usd_year_max,first_published,last_published,url
562b487ae491,Handshake,EPiC Associate Consultant - Data & Analytics,1,,,,,,75000.0,2026-09-14,2026-09-14,https://job-boards.greenhouse.io/handshake/jobs/4405963009
302b69a207f0,Handshake,EPiC Associate Consultant - Organizational Effectiveness,1,,,,,,70000.0,2026-09-14,2026-09-14,https://job-boards.greenhouse.io/handshake/jobs/4405455009
052507a33b13,Handshake,EPiC Associate Consultant - ServiceNow,1,,,,,,70000.0,2026-09-14,2026-09-14,https://job-boards.greenhouse.io/handshake/jobs/4405967009
e469ca334a89,Handshake,EPiC Associate Consultant - Strategy & Execution,1,,,,,,70000.0,2026-09-14,2026-09-14,https://job-boards.greenhouse.io/handshake/jobs/4405958009
f9a863c02992,Handshake,EPiC Intern - Minneapolis,1,,,,,,,2026-09-16,2026-09-16,https://job-boards.greenhouse.io/handshake/jobs/4408789009
a8b3b4645340,Hugging Face,"Low-Level Senior Software Engineer, Xet Storage - US Remote",1,US,False,,,,,2026-07-30,2026-07-30,https://apply.workable.com/j/002470F128
22020648ac51,Hugging Face,"Low-level Senior Software Engineer, Xet Storage - EMEA Remote",1,FR,False,,,,,2026-07-30,2026-07-30,https://apply.workable.com/j/F4C096B22E
d590d579a64d,Hugging Face,Open-Source Machine Learning Engineer - EMEA Remote,1,FR,False,,fluent,,,2026-05-29,2026-05-29,https://apply.workable.com/j/81B46579FE
3a081a10889a,Hugging Face,Open-Source Machine Learning Engineer - US Remote,1,US,False,,fluent,,,2026-05-29,2026-05-29,https://apply.workable.com/j/19A136F8E2
addb96746c46,Hugging Face,"Senior Machine Learning Engineer, Voice Agents - EMEA Remote",1,FR,False,,,,,2026-09-02,2026-09-02,https://apply.workable.com/j/9E2A4C02C7
0ee55a8df633,Hugging Face,"Senior Open-Source Python Engineer, ML Developer Tools - EMEA Remote",1,FR,False,5,,,,2026-09-21,2026-09-21,https://apply.workable.com/j/DB4D7C0EC8
f442f09025bd,Hugging Face,"Senior Open-Source Python Engineer, ML Developer Tools - US Remote",1,US,False,5,,,,2026-09-21,2026-09-21,https://apply.workable.com/j/F88446C814
9fe0ca4d8e39,Hugging Face,Wild Card,1,US,False,,,,,2024-10-17,2024-10-17,https://apply.workable.com/j/0BD8C06DB3
ae3b8db7a191,Invisible Technologies,DevOps Engineer,1,GB,False,,,,,2026-08-20,2026-08-20,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4957418101
041f4372231d,Invisible Technologies,Enterprise Solutions Manager,1,US,False,2,,,,2026-08-18,2026-08-18,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4945812101
